date,zone,zone_name,zone_type,PM2.5,PM10,NO2,SO2,AQI,Category
2020-01-22,Central,Sayajigunj/Mandvi,Commercial/Traffic,69.44,177.41,42.25,6.65,176,Moderate
2020-01-23,North,Nandesari (Industrial),Industrial,104.39,167.56,42.73,10.07,258,Poor
2020-01-23,South,Makarpura (GIDC),Industrial,88.07,152.83,42.57,7.54,227,Poor
2020-01-23,East,Waghodia/Ajwa Rd,Developing/Commercial,71.55,164.49,32.76,3.64,186,Moderate
2020-01-23,West,Alkapuri/Old Padra,Residential,65.93,113.05,26.81,2.08,161,Moderate
2020-01-23,Central,Sayajigunj/Mandvi,Commercial/Traffic,78.72,165.19,47.92,4.29,214,Poor
2020-01-24,North,Nandesari (Industrial),Industrial,126.98,135.78,59.44,9.41,296,Poor
2020-01-24,South,Makarpura (GIDC),Industrial,124.03,134.92,55.26,7.62,292,Poor
2020-01-24,East,Waghodia/Ajwa Rd,Developing/Commercial,85.18,126.71,42.75,3.73,244,Poor
2020-01-24,West,Alkapuri/Old Padra,Residential,75.53,86.41,37.66,1.84,206,Poor
2020-01-24,Central,Sayajigunj/Mandvi,Commercial/Traffic,107.01,139.87,60.4,3.93,269,Poor
2020-01-25,North,Nandesari (Industrial),Industrial,94.49,166.39,73.63,20.52,227,Poor
2020-01-25,South,Makarpura (GIDC),Industrial,86.81,165.3,68.92,14.31,215,Poor
2020-01-25,East,Waghodia/Ajwa Rd,Developing/Commercial,67.43,144.01,63.45,8.65,166,Moderate
2020-01-25,West,Alkapuri/Old Padra,Residential,62.28,105.44,46.74,4.21,154,Moderate
2020-01-25,Central,Sayajigunj/Mandvi,Commercial/Traffic,75.12,155.93,77.11,9.29,192,Moderate
2020-01-26,North,Nandesari (Industrial),Industrial,102.78,152.28,70.28,8.86,245,Poor
2020-01-26,South,Makarpura (GIDC),Industrial,100.99,167.07,59.86,6.21,235,Poor
2020-01-26,East,Waghodia/Ajwa Rd,Developing/Commercial,82.55,131.32,53.66,3.51,205,Poor
2020-01-26,West,Alkapuri/Old Padra,Residential,72.92,111.66,41.38,1.81,158,Moderate
2020-01-26,Central,Sayajigunj/Mandvi,Commercial/Traffic,93.17,139.02,63.91,3.72,219,Poor
2020-01-27,North,Nandesari (Industrial),Industrial,94.89,215.29,82.95,8.21,234,Poor
2020-01-27,South,Makarpura (GIDC),Industrial,77.4,209.94,81.76,5.6,214,Poor
2020-01-27,East,Waghodia/Ajwa Rd,Developing/Commercial,65.22,172.23,68.91,3.12,178,Moderate
2020-01-27,West,Alkapuri/Old Padra,Residential,58.98,138.26,47.58,1.5,145,Moderate
2020-01-27,Central,Sayajigunj/Mandvi,Commercial/Traffic,76.15,214.97,75.59,3.85,186,Moderate
2020-01-28,North,Nandesari (Industrial),Industrial,98.83,235.47,60.78,7.95,280,Poor
2020-01-28,South,Makarpura (GIDC),Industrial,98.12,240.69,58.99,5.68,251,Poor
2020-01-28,East,Waghodia/Ajwa Rd,Developing/Commercial,83.24,241.55,44.39,2.65,206,Poor
2020-01-28,West,Alkapuri/Old Padra,Residential,68.34,161.2,39.69,1.56,171,Moderate
2020-01-28,Central,Sayajigunj/Mandvi,Commercial/Traffic,99.3,226.92,54.22,3.35,222,Poor
2020-01-29,North,Nandesari (Industrial),Industrial,64.98,183.83,76.73,7.62,174,Moderate
2020-01-29,South,Makarpura (GIDC),Industrial,71.2,167.24,66.52,6.33,168,Moderate
2020-01-29,East,Waghodia/Ajwa Rd,Developing/Commercial,50.95,144.61,60.3,3.24,141,Moderate
2020-01-29,West,Alkapuri/Old Padra,Residential,51.12,124.26,45.35,1.65,116,Moderate
2020-01-29,Central,Sayajigunj/Mandvi,Commercial/Traffic,63.16,171.17,79.23,3.21,153,Moderate
2020-01-30,North,Nandesari (Industrial),Industrial,83.97,222.73,56.59,5.51,206,Poor
2020-01-30,South,Makarpura (GIDC),Industrial,77.3,207.27,48.42,4.15,192,Moderate
2020-01-30,East,Waghodia/Ajwa Rd,Developing/Commercial,64.38,172.67,49.3,2.16,162,Moderate
2020-01-30,West,Alkapuri/Old Padra,Residential,52.77,131.75,40.23,1.02,133,Moderate
2020-01-30,Central,Sayajigunj/Mandvi,Commercial/Traffic,68.98,187.61,62.94,2.48,174,Moderate
2020-01-31,North,Nandesari (Industrial),Industrial,97.39,181.48,84.55,16.86,261,Poor
2020-01-31,South,Makarpura (GIDC),Industrial,93.28,174.72,71.85,13.5,243,Poor
2020-01-31,East,Waghodia/Ajwa Rd,Developing/Commercial,81.17,170.71,59.28,7.02,208,Poor
2020-01-31,West,Alkapuri/Old Padra,Residential,74.0,117.49,50.32,3.61,180,Moderate
2020-01-31,Central,Sayajigunj/Mandvi,Commercial/Traffic,91.33,184.37,69.82,7.9,226,Poor
2020-02-01,North,Nandesari (Industrial),Industrial,94.78,146.61,64.74,9.75,237,Poor
2020-02-01,South,Makarpura (GIDC),Industrial,87.2,129.57,57.81,6.51,205,Poor
2020-02-01,East,Waghodia/Ajwa Rd,Developing/Commercial,77.58,129.87,54.53,3.51,184,Moderate
2020-02-01,West,Alkapuri/Old Padra,Residential,55.37,101.9,37.21,1.7,151,Moderate
2020-02-01,Central,Sayajigunj/Mandvi,Commercial/Traffic,79.15,128.33,63.36,4.21,200,Moderate
2020-02-02,North,Nandesari (Industrial),Industrial,118.38,192.57,52.07,18.56,265,Poor
2020-02-02,South,Makarpura (GIDC),Industrial,99.61,187.89,48.41,14.45,265,Poor
2020-02-02,East,Waghodia/Ajwa Rd,Developing/Commercial,85.67,170.88,38.16,7.59,210,Poor
2020-02-02,West,Alkapuri/Old Padra,Residential,68.94,111.08,36.49,3.49,176,Moderate
2020-02-02,Central,Sayajigunj/Mandvi,Commercial/Traffic,87.33,155.68,47.8,8.5,242,Poor
2020-02-03,North,Nandesari (Industrial),Industrial,129.95,226.47,74.15,10.44,301,Very Poor
2020-02-03,South,Makarpura (GIDC),Industrial,118.24,215.66,53.83,7.68,291,Poor
2020-02-03,East,Waghodia/Ajwa Rd,Developing/Commercial,95.09,187.43,45.45,4.61,239,Poor
2020-02-03,West,Alkapuri/Old Padra,Residential,87.15,129.1,39.08,1.97,210,Poor
2020-02-03,Central,Sayajigunj/Mandvi,Commercial/Traffic,97.17,209.05,66.58,4.45,264,Poor
2020-02-04,North,Nandesari (Industrial),Industrial,111.73,149.52,53.15,8.44,285,Poor
2020-02-04,South,Makarpura (GIDC),Industrial,118.33,150.89,46.83,5.95,268,Poor
2020-02-04,East,Waghodia/Ajwa Rd,Developing/Commercial,83.25,130.51,38.53,3.47,227,Poor
2020-02-04,West,Alkapuri/Old Padra,Residential,80.67,111.56,32.63,1.61,190,Moderate
2020-02-04,Central,Sayajigunj/Mandvi,Commercial/Traffic,102.18,147.34,49.69,3.57,251,Poor
2020-02-05,North,Nandesari (Industrial),Industrial,82.93,167.44,46.59,15.34,224,Poor
2020-02-05,South,Makarpura (GIDC),Industrial,75.16,150.19,42.53,11.1,204,Poor
2020-02-05,East,Waghodia/Ajwa Rd,Developing/Commercial,71.18,137.81,32.02,5.86,162,Moderate
2020-02-05,West,Alkapuri/Old Padra,Residential,53.92,107.76,28.39,3.12,149,Moderate
2020-02-05,Central,Sayajigunj/Mandvi,Commercial/Traffic,80.94,154.37,39.66,6.08,177,Moderate
2020-02-06,North,Nandesari (Industrial),Industrial,96.95,169.33,44.95,9.5,269,Poor
2020-02-06,South,Makarpura (GIDC),Industrial,100.74,172.64,40.46,6.79,236,Poor
2020-02-06,East,Waghodia/Ajwa Rd,Developing/Commercial,83.07,153.27,31.22,4.16,199,Moderate
2020-02-06,West,Alkapuri/Old Padra,Residential,70.33,107.74,29.44,1.98,174,Moderate
2020-02-06,Central,Sayajigunj/Mandvi,Commercial/Traffic,91.81,161.7,45.38,4.13,214,Poor
2020-02-07,North,Nandesari (Industrial),Industrial,109.24,219.24,80.51,20.75,281,Poor
2020-02-07,South,Makarpura (GIDC),Industrial,107.1,211.53,72.41,15.14,273,Poor
2020-02-07,East,Waghodia/Ajwa Rd,Developing/Commercial,93.43,189.31,55.71,7.33,231,Poor
2020-02-07,West,Alkapuri/Old Padra,Residential,79.61,133.16,44.42,4.19,187,Moderate
2020-02-07,Central,Sayajigunj/Mandvi,Commercial/Traffic,89.75,204.54,78.84,8.14,252,Poor
2020-02-08,North,Nandesari (Industrial),Industrial,81.09,171.94,51.51,13.09,198,Moderate
2020-02-08,South,Makarpura (GIDC),Industrial,81.1,184.84,42.27,9.37,183,Moderate
2020-02-08,East,Waghodia/Ajwa Rd,Developing/Commercial,60.31,165.33,38.73,5.24,154,Moderate
2020-02-08,West,Alkapuri/Old Padra,Residential,50.71,111.05,29.14,2.6,130,Moderate
2020-02-08,Central,Sayajigunj/Mandvi,Commercial/Traffic,74.72,165.48,50.96,5.79,171,Moderate
2020-02-09,North,Nandesari (Industrial),Industrial,113.81,139.29,57.74,19.34,282,Poor
2020-02-09,South,Makarpura (GIDC),Industrial,115.52,127.22,58.43,12.4,253,Poor
2020-02-09,East,Waghodia/Ajwa Rd,Developing/Commercial,89.82,117.66,40.62,8.17,222,Poor
2020-02-09,West,Alkapuri/Old Padra,Residential,77.67,87.16,33.69,4.15,190,Moderate
2020-02-09,Central,Sayajigunj/Mandvi,Commercial/Traffic,92.1,123.68,60.17,8.57,253,Poor
2020-02-10,North,Nandesari (Industrial),Industrial,83.71,152.05,55.09,14.52,191,Moderate
2020-02-10,South,Makarpura (GIDC),Industrial,68.2,154.02,43.73,10.24,184,Moderate
2020-02-10,East,Waghodia/Ajwa Rd,Developing/Commercial,61.71,134.96,34.44,6.52,159,Moderate
2020-02-10,West,Alkapuri/Old Padra,Residential,55.24,94.83,28.87,3.3,125,Moderate
2020-02-10,Central,Sayajigunj/Mandvi,Commercial/Traffic,68.79,127.28,48.86,6.49,174,Moderate
2020-02-11,North,Nandesari (Industrial),Industrial,85.69,157.41,58.3,18.69,219,Poor
2020-02-11,South,Makarpura (GIDC),Industrial,89.12,162.48,42.65,12.66,203,Poor
2020-02-11,East,Waghodia/Ajwa Rd,Developing/Commercial,67.07,146.43,41.81,7.29,174,Moderate
2020-02-11,West,Alkapuri/Old Padra,Residential,57.73,105.89,35.42,4.02,141,Moderate
2020-02-11,Central,Sayajigunj/Mandvi,Commercial/Traffic,67.61,143.73,47.13,8.15,177,Moderate
2020-02-12,North,Nandesari (Industrial),Industrial,132.96,308.72,60.65,15.74,359,Very Poor
2020-02-12,South,Makarpura (GIDC),Industrial,135.08,292.79,54.03,12.48,340,Very Poor
2020-02-12,East,Waghodia/Ajwa Rd,Developing/Commercial,113.95,273.76,43.87,6.41,294,Poor
2020-02-12,West,Alkapuri/Old Padra,Residential,94.76,188.67,34.65,3.32,243,Poor
2020-02-12,Central,Sayajigunj/Mandvi,Commercial/Traffic,121.06,273.81,53.58,7.38,299,Poor
2020-02-13,North,Nandesari (Industrial),Industrial,73.45,142.99,79.16,14.61,191,Moderate
2020-02-13,South,Makarpura (GIDC),Industrial,74.08,156.56,68.4,9.31,186,Moderate
2020-02-13,East,Waghodia/Ajwa Rd,Developing/Commercial,57.99,135.61,58.9,5.05,145,Moderate
2020-02-13,West,Alkapuri/Old Padra,Residential,50.41,99.85,46.61,2.9,126,Moderate
2020-02-13,Central,Sayajigunj/Mandvi,Commercial/Traffic,66.55,128.67,71.45,5.81,165,Moderate
2020-02-14,North,Nandesari (Industrial),Industrial,77.85,157.73,84.82,12.53,210,Poor
2020-02-14,South,Makarpura (GIDC),Industrial,76.53,152.97,76.23,9.67,187,Moderate
2020-02-14,East,Waghodia/Ajwa Rd,Developing/Commercial,62.34,143.9,60.1,4.82,160,Moderate
2020-02-14,West,Alkapuri/Old Padra,Residential,57.15,105.32,55.94,2.56,131,Moderate
2020-02-14,Central,Sayajigunj/Mandvi,Commercial/Traffic,65.46,167.64,86.68,5.37,173,Moderate
2020-02-15,North,Nandesari (Industrial),Industrial,101.44,155.91,55.17,16.18,256,Poor
2020-02-15,South,Makarpura (GIDC),Industrial,105.82,158.0,50.63,11.33,243,Poor
2020-02-15,East,Waghodia/Ajwa Rd,Developing/Commercial,82.16,147.27,44.43,6.8,199,Moderate
2020-02-15,West,Alkapuri/Old Padra,Residential,74.3,113.32,35.19,3.0,172,Moderate
2020-02-15,Central,Sayajigunj/Mandvi,Commercial/Traffic,94.85,149.6,61.59,7.78,229,Poor
2020-02-16,North,Nandesari (Industrial),Industrial,99.69,144.89,86.97,7.47,244,Poor
2020-02-16,South,Makarpura (GIDC),Industrial,90.11,140.86,79.76,5.38,228,Poor
2020-02-16,East,Waghodia/Ajwa Rd,Developing/Commercial,73.48,137.84,58.97,2.83,178,Moderate
2020-02-16,West,Alkapuri/Old Padra,Residential,60.91,88.45,45.97,1.41,160,Moderate
2020-02-16,Central,Sayajigunj/Mandvi,Commercial/Traffic,76.78,132.0,73.42,3.39,199,Moderate
2020-02-17,North,Nandesari (Industrial),Industrial,75.7,175.89,51.79,5.75,209,Poor
2020-02-17,South,Makarpura (GIDC),Industrial,71.05,190.7,42.08,3.97,196,Moderate
2020-02-17,East,Waghodia/Ajwa Rd,Developing/Commercial,59.44,178.44,36.19,2.21,157,Moderate
2020-02-17,West,Alkapuri/Old Padra,Residential,48.78,129.37,32.81,1.17,129,Moderate
2020-02-17,Central,Sayajigunj/Mandvi,Commercial/Traffic,72.61,177.02,50.73,2.62,164,Moderate
2020-02-18,North,Nandesari (Industrial),Industrial,116.22,186.52,70.75,11.62,289,Poor
2020-02-18,South,Makarpura (GIDC),Industrial,104.32,202.34,55.54,8.44,291,Poor
2020-02-18,East,Waghodia/Ajwa Rd,Developing/Commercial,101.46,174.57,53.85,5.24,235,Poor
2020-02-18,West,Alkapuri/Old Padra,Residential,82.55,129.26,38.05,2.57,200,Moderate
2020-02-18,Central,Sayajigunj/Mandvi,Commercial/Traffic,103.32,189.3,68.98,5.45,259,Poor
2020-02-19,North,Nandesari (Industrial),Industrial,85.33,216.41,75.36,7.1,236,Poor
2020-02-19,South,Makarpura (GIDC),Industrial,76.27,202.36,76.19,4.82,204,Poor
2020-02-19,East,Waghodia/Ajwa Rd,Developing/Commercial,73.2,197.75,62.14,2.97,180,Moderate
2020-02-19,West,Alkapuri/Old Padra,Residential,54.4,146.2,53.36,1.54,145,Moderate
2020-02-19,Central,Sayajigunj/Mandvi,Commercial/Traffic,74.69,197.76,78.79,3.28,197,Moderate
2020-02-20,North,Nandesari (Industrial),Industrial,81.71,188.44,69.62,11.54,202,Poor
2020-02-20,South,Makarpura (GIDC),Industrial,79.73,209.09,51.21,9.63,186,Moderate
2020-02-20,East,Waghodia/Ajwa Rd,Developing/Commercial,62.33,175.5,45.68,5.28,163,Moderate
2020-02-20,West,Alkapuri/Old Padra,Residential,53.48,130.6,38.56,2.6,133,Moderate
2020-02-20,Central,Sayajigunj/Mandvi,Commercial/Traffic,62.92,171.75,58.93,5.87,181,Moderate
2020-02-21,North,Nandesari (Industrial),Industrial,119.63,144.48,66.19,10.62,263,Poor
2020-02-21,South,Makarpura (GIDC),Industrial,94.19,159.4,55.53,6.71,252,Poor
2020-02-21,East,Waghodia/Ajwa Rd,Developing/Commercial,83.95,128.54,46.27,4.22,211,Poor
2020-02-21,West,Alkapuri/Old Padra,Residential,78.54,106.59,37.11,1.83,170,Moderate
2020-02-21,Central,Sayajigunj/Mandvi,Commercial/Traffic,92.98,141.99,57.56,4.65,236,Poor
2020-02-22,North,Nandesari (Industrial),Industrial,146.33,249.04,62.81,10.63,381,Very Poor
2020-02-22,South,Makarpura (GIDC),Industrial,135.29,249.98,50.99,7.55,360,Very Poor
2020-02-22,East,Waghodia/Ajwa Rd,Developing/Commercial,115.45,240.83,40.92,4.15,292,Poor
2020-02-22,West,Alkapuri/Old Padra,Residential,104.84,157.53,33.92,2.08,259,Poor
2020-02-22,Central,Sayajigunj/Mandvi,Commercial/Traffic,138.64,260.55,58.73,4.27,318,Very Poor
2020-02-23,North,Nandesari (Industrial),Industrial,118.96,219.79,92.8,15.75,300,Poor
2020-02-23,South,Makarpura (GIDC),Industrial,106.01,191.64,80.0,11.19,276,Poor
2020-02-23,East,Waghodia/Ajwa Rd,Developing/Commercial,101.91,194.69,61.93,7.16,245,Poor
2020-02-23,West,Alkapuri/Old Padra,Residential,80.63,126.97,57.1,3.47,202,Poor
2020-02-23,Central,Sayajigunj/Mandvi,Commercial/Traffic,102.72,177.69,85.54,7.51,270,Poor
2020-02-24,North,Nandesari (Industrial),Industrial,70.75,230.45,52.92,18.79,217,Poor
2020-02-24,South,Makarpura (GIDC),Industrial,62.47,207.23,45.75,14.27,207,Poor
